Symbol,Name,Sector
^DJI,Agilent Technologies Inc,Health Care
^GSPC,American Airlines Group,Industrials
A,Advance Auto Parts,Consumer Discretionary
AAL,Apple Inc.,Information Technology
AAP,AbbVie Inc.,Health Care
AAPL,AmerisourceBergen Corp,Health Care
ABBV,Abbott Laboratories,Health Care
ABC,Air Canada,
ABNB,Aurora Cannabis,
ABT,Accenture plc,Information Technology
AC.TO,Adobe Systems Inc,Information Technology
ACB,"Analog Devices, Inc.",Information Technology
ACN,Archer-Daniels-Midland Co,Consumer Staples
ADBE,Automatic Data Processing,Information Technology
ADI,Alliance Data Systems,Information Technology
ADM,Autodesk Inc,Information Technology
ADP,Ameren Corp,Utilities
ADS,American Electric Power,Utilities
ADSK,AES Corp,Utilities
AEE,Aetna Inc,Health Care
AEP,AFLAC Inc,Financials
AES,"Allergan, Plc",Health Care
AET,"American International Group, Inc.",Financials
AFL,Apartment Investment & Management,Real Estate
AGN,Assurant Inc,Financials
AIG,Arthur J. Gallagher & Co.,Financials
AIV,Akamai Technologies Inc,Information Technology
AIZ,Albemarle Corp,Materials
AJG,Align Technology,Health Care
AKAM,Alaska Air Group Inc,Industrials
ALB,,
ALGN,Allegion,Industrials
ALK,Alexion Pharmaceuticals,Health Care
ALL,Applied Materials Inc,Information Technology
ALLE,Advanced Micro Devices Inc,Information Technology
ALXN,AMETEK Inc,Industrials
AMAT,Affiliated Managers Group Inc,Financials
AMD,Amgen Inc,Health Care
AME,Ameriprise Financial,Financials
AMG,American Tower Corp A,Real Estate
AMGN,Amazon.com Inc,Consumer Discretionary
AMP,Andeavor,Energy
AMT,ANSYS,Information Technology
AMZN,Anthem Inc.,Health Care
ANDV,Aon plc,Financials
ANSS,A.O. Smith Corp,Industrials
ANTM,Apache Corporation,Energy
AON,Anadarko Petroleum Corp,Energy
AOS,Air Products & Chemicals Inc,Materials
APA,Amphenol Corp,Information Technology
APC,Aptiv Plc,Consumer Discretionary
APD,Alexandria Real Estate Equities Inc,Real Estate
APH,ARK Fintech Innovation ETF,
APTV,Arconic Inc,Industrials
ARE,Activision Blizzard,Information Technology
ARKF,"AvalonBay Communities, Inc.",Real Estate
ARNC,Broadcom,Information Technology
ATVI,Avery Dennison Corp,Materials
AVB,American Water Works Company Inc,Utilities
AVGO,American Express Co,Financials
AVY,Acuity Brands Inc,Industrials
AWK,"Alteryx, Inc.",
AXP,AutoZone Inc,Consumer Discretionary
AYI,Boeing Company,Industrials
AYX,Ali BABA,
AZO,Bank of America Corp,Financials
BA,Baxter International Inc.,Health Care
BABA,BB&T Corporation,Financials
BAC,Best Buy Co. Inc.,Consumer Discretionary
BAX,BCE Inc.,
BBT,Becton Dickinson,Health Care
BBY,Franklin Resources,Financials
BCE.TO,Brown-Forman Corp.,Consumer Staples
BDX,Brighthouse Financial Inc,Financials
BEN,"Baker Hughes, a GE Company",Energy
BF.B,Biogen Inc.,Health Care
BHF,The Bank of New York Mellon Corp.,Financials
BHGE,BlackRock,Financials
BIIB,Ball Corp,Materials
BK,Bank of Montreal,
BLK,Bristol-Myers Squibb,Health Care
BLL,The Bank of Nova Scotia,
BMO.TO,Berkshire Hathaway,Financials
BMY,Boston Scientific,Health Care
BNGO,BorgWarner,Consumer Discretionary
