Symbol,Name
AC.TO,Air Canada
BCE.TO,BCE Inc.
BMO.TO,Bank of Montreal
BNS.TO,The Bank of Nova Scotia
CGX.TO,Cineplex Inc. 
CM.TO,Canadian Imperial Bank of Commerce 
CNQ.TO,Canadian Natural Resources Limited
CVE.TO,Cenovus Energy Inc.
ENB.TO,Enbridge Inc. 
GC.TO,Great Canadian Gaming Corporation
GOOS.TO,Canada Goose Holdings Inc. 
LSPD.TO,Lightspeed POS Inc.
MFC.TO,Manulife Financial Corporation
REI-UN.TO,RioCan Real Estate Investment Trust 
SHOP.TO,Shopify Inc.
SU.TO,Suncor Energy Inc.
T.TO,TELUS Corporation
TD.TO,The Toronto-Dominion Bank
TRP.TO,TC Energy Corporation
NVEI.TO,Nuvei Corporation
KXS.TO,Kinaxis Inc.
DSG.TO,The Descartes Systems Group Inc
ENGH.TO,Enghouse Systems Limited
